feature_1,feature_2,mean_abs_interaction
Feeling for regular activities_Not Reported,Feeling for regular activities_Worried,0.0025316154534354963
Feeling for regular activities_Not Reported,Economic_Stability_Index_Weighted,0.002514106664597408
Feeling for regular activities_Not Reported,Relationship with the in-laws_Neutral,0.002495552795845573
Neonatal_Delivery_Stress_Index_Weighted,Age,0.0024797978056533337
Feeling about motherhood_Neutral,Relationship with the in-laws_Neutral,0.0024776501533078235
Maternal_MentalHealth_Risk_Index_Weighted,Age of immediate older children_Not Applicable (Only One Child),0.0024578266973489587
Social_Support_Index_Weighted,Depression during pregnancy (PHQ2)_Positive,0.002457736714080576
Trust and share feelings_Yes,Age,0.002455324570123216
Relationship with the in-laws_Good,Trust and share feelings_Yes,0.0023730864245757465
Feeling about motherhood_Neutral,Age,0.0023688095030326073
Relationship with the in-laws_Good,Relationship with the in-laws_Neutral,0.002358498401469563
Social_Support_Index_Weighted,Need for Support_Not Reported,0.002285928553793216
Abuse_Yes,Major changes or losses during pregnancy_Yes,0.002255438982193174
Angry after latest child birth_Yes,Need for Support_Not Reported,0.0022538983487217397
Social_Support_Index_Weighted,Feeling about motherhood_Neutral,0.0022478820105970255
Trust and share feelings_Yes,Economic_Stability_Index_Weighted,0.0021732917794709053
Economic_Stability_Index_Weighted,Relationship with the in-laws_Neutral,0.002167132548005031
Abuse_Yes,Feeling about motherhood_Neutral,0.002150152067104481
Social_Support_Index_Weighted,Feeling for regular activities_Worried,0.0021497574881552224
Relationship with the in-laws_Good,Feeling for regular activities_Not Reported,0.002127269039268956
Abuse_Yes,Depression during pregnancy (PHQ2)_Positive,0.0021243394316327506
Angry after latest child birth_Yes,Feeling about motherhood_Sad,0.0020480208048242474
Major changes or losses during pregnancy_Yes,Depression during pregnancy (PHQ2)_Positive,0.0020446111151907653
Abuse_Yes,Relax/sleep when the newborn is asleep_Yes,0.0020215843311740408
Relax/sleep when the newborn is asleep_Yes,Age,0.001994824133243038
Neonatal_Delivery_Stress_Index_Weighted,Relationship with the in-laws_Neutral,0.001915617264778572
Economic_Stability_Index_Weighted,Age of immediate older children_Not Applicable (Only One Child),0.0019019410314919851
Abuse_Yes,Relationship with the in-laws_Good,0.0018887615927262059
Relationship with the in-laws_Neutral,Age of immediate older children_Not Applicable (Only One Child),0.0018864069741636766
Abuse_Yes,Feeling for regular activities_Worried,0.0018557190942347559
Relax/sleep when the newborn is asleep_Yes,Feeling about motherhood_Sad,0.001824761264769287
Depression during pregnancy (PHQ2)_Positive,Economic_Stability_Index_Weighted,0.0018115299043846202
Abuse_Yes,Need for Support_Not Reported,0.0018063971172117567
Major changes or losses during pregnancy_Yes,Feeling for regular activities_Not Reported,0.001804279957234097
Abuse_Yes,Trust and share feelings_Yes,0.0017743872108707925
Neonatal_Delivery_Stress_Index_Weighted,Age of immediate older children_Not Applicable (Only One Child),0.0017737934562942256
Birth complications_Yes,Feeling for regular activities_Worried,0.0017714792340052868
Trust and share feelings_Yes,Relationship with the in-laws_Neutral,0.001758965513961821
Angry after latest child birth_Yes,Depression during pregnancy (PHQ2)_Positive,0.0017381254158297314
