,missing_count,missing_pct
Addiction,789,98.62
History of pregnancy loss,613,76.62
Disease before pregnancy,588,73.5
Current monthly income,525,65.62
Age of immediate older children,517,64.62
Monthly income before latest pregnancy,437,54.62
Diseases during pregnancy,371,46.38
Feeling for regular activities,223,27.88
Need for Support,167,20.88
Abuse,38,4.75
Husband's monthly income,28,3.5
Husband's education level,9,1.12
Education Level,6,0.75
Trust and share feelings,1,0.12
