encoding,n_features,cv_f1_macro_mean,cv_accuracy_mean,holdout_f1_macro
Native categorical,59,0.5284915078715505,0.58375,0.518444321635811
One-hot,116,0.5371417812806533,0.59125,0.5170841283373252
