feature,mean_FN,mean_TP,mean_diff,mannwhitney_pvalue,significant_at_0.05
Maternal_MentalHealth_Risk_Index_Weighted,1.962601580012609,6.0506699852285974,-4.088068405215989,2.9545745449958406e-07,True
Social_Support_Index_Weighted,6.604874603390045,4.5350227566209,2.0698518467691454,3.365614149718665e-05,True
Age,26.363636363636363,28.270833333333332,-1.9071969696969688,0.05975819137246985,False
Economic_Stability_Index_Weighted,2.903601490261114,1.496738871034917,1.406862619226197,0.03294552328149195,True
Abuse_Yes,0.7727272727272727,0.1875,0.5852272727272727,,False
Angry after latest child birth_Yes,0.45454545454545453,0.9375,-0.48295454545454547,,False
Neonatal_Delivery_Stress_Index_Weighted,5.5550850663822695,5.983174598767266,-0.4280895323849965,0.4661322208707678,False
Need for Support_Not Reported,0.22727272727272727,0.041666666666666664,0.1856060606060606,,False
Number of the latest pregnancy,1.6818181818181819,1.5208333333333333,0.16098484848484862,0.7536126712233064,False
Received Support_Medium,0.5454545454545454,0.5833333333333334,-0.037878787878787956,,False
