approach,r2,mae,rmse,accuracy,f1_macro,qwk
Regression + Threshold (Linear Regression),0.4443160822522918,3.4537159344335455,4.43521407179594,0.4625,0.42637629650775527,0.6016077971045424
Regression + Threshold (CatBoost),0.439343966331036,3.486293457758424,4.455012456702682,0.45,0.39319510898458265,0.5929854946958215
Regression + Threshold (LightGBM),0.41123427629539444,3.651587793325158,4.565327438913743,0.41875,0.38616149627184143,0.5806065723735134
Direct Classifier (Random Forest),,,,0.34375,0.32935279683527546,0.5477109762824048
Regression + Threshold (XGBoost),0.3256509304046631,3.925194501876831,4.885883018938936,0.38125,0.37785799624509303,0.5263502116966714
Regression + Threshold (Random Forest),0.433395427533961,3.5422916666666664,4.478583853556092,0.35,0.25116871781443656,0.4983818770226537
