encoding,n_features,cv_f1_macro_mean,cv_accuracy_mean,holdout_f1_macro
Native categorical,59,0.33686818870146645,0.41000000000000003,0.39984616611047946
One-hot,116,0.3373619841157671,0.39624999999999994,0.3355631633943793
