approach,r2,mae,rmse,accuracy,f1_macro,qwk
Direct Classifier (Random Forest),,,,0.5875,0.5398786398786398,0.5565364676897808
Regression + Threshold (Linear Regression),0.34356398995793735,4.513579593301161,5.6872878724425036,0.60625,0.565050941648657,0.5211970074812968
Regression + Threshold (CatBoost),0.3846353981644386,4.311933201384536,5.506495238666179,0.56875,0.5296399086421425,0.504785923081332
Regression + Threshold (Random Forest),0.3953319519921852,4.316854166666667,5.458427206571911,0.5625,0.52884577225488,0.4997131382673551
Regression + Threshold (LightGBM),0.3171674758353863,4.675416771778532,5.800509098309774,0.55,0.5184591309330953,0.4938675842166602
Regression + Threshold (XGBoost),0.3450092673301697,4.480474948883057,5.68102356781559,0.54375,0.4986922406277244,0.4485976353321669
