target,feature,anova_p,kruskal_p,significant_at_0.05
EPDS Result,Age,0.37637422533446313,0.5385015551269403,False
EPDS Result,Age_Squared,0.4595978401095803,0.5385015551269403,False
PHQ9 Result,Age,0.13026643099947546,0.2018205369104677,False
PHQ9 Result,Age_Squared,0.10704284548314431,0.2018205369104677,False
PPD_binary,Age,0.7865808705426415,0.8498700166558866,False
PPD_binary,Age_Squared,0.9892438545651916,0.8498700166558866,False
