feature_1,feature_2,mean_abs_interaction
Economic_Stability_Index_Weighted,Relationship with husband_Good,0.0028850194209218806
Abuse_Yes,Neonatal_Delivery_Stress_Index_Weighted,0.00281501820902607
Feeling for regular activities_Not Reported,Worry about newborn_Yes,0.0028030794998608567
Economic_Stability_Index_Weighted,Family type_Nuclear,0.0027781527979702076
Relax/sleep when the newborn is asleep_Yes,Major changes or losses during pregnancy_Yes,0.002765942748235083
Feeling for regular activities_Not Reported,Received Support_Medium,0.002763354551142106
Economic_Stability_Index_Weighted,Relationship with the in-laws_Good,0.0027564104858576245
Economic_Stability_Index_Weighted,Worry about newborn_Yes,0.002746391242714744
Neonatal_Delivery_Stress_Index_Weighted,Family type_Nuclear,0.0027278816044550586
Neonatal_Delivery_Stress_Index_Weighted,Trust and share feelings_Yes,0.0027069960532559324
Major changes or losses during pregnancy_Yes,Family type_Nuclear,0.0026918585655527185
Economic_Stability_Index_Weighted,Relax/sleep when the newborn is asleep_Yes,0.002685062657923372
Need for Support_Not Reported,Received Support_Medium,0.0026673011684180317
Angry after latest child birth_Yes,Relationship with husband_Good,0.0026487318837305723
Need for Support_Not Reported,Diseases during pregnancy_No Disease,0.002624253352919925
Major changes or losses during pregnancy_Yes,Relationship with husband_Good,0.0026057411482313837
Need for Support_Not Reported,Neonatal_Delivery_Stress_Index_Weighted,0.0025841827622276807
Maternal_MentalHealth_Risk_Index_Weighted,Education Level_University,0.002559401474802419
Feeling for regular activities_Not Reported,Relationship with the in-laws_Good,0.0025545864015410593
Abuse_Yes,Major changes or losses during pregnancy_Yes,0.0025476736761205977
Abuse_Yes,Need for Support_Not Reported,0.0024901927102646748
Maternal_MentalHealth_Risk_Index_Weighted,Depression before pregnancy (PHQ2)_Positive,0.0024745099031677456
Neonatal_Delivery_Stress_Index_Weighted,Worry about newborn_Yes,0.0024527031407483154
Social_Support_Index_Weighted,Education Level_University,0.0024159744595217323
Feeling for regular activities_Not Reported,Family type_Nuclear,0.002409715216654165
Family type_Nuclear,Fear of pregnancy_Yes,0.002386637465321725
