encoding,n_features,cv_f1_macro_mean,cv_accuracy_mean,holdout_f1_macro
Native categorical,59,0.7522803274516068,0.7587499999999999,0.751106856527462
One-hot,116,0.7491969968322076,0.7549999999999999,0.756058417589472
