operating_point,threshold,accuracy,precision,recall,f1,brier_uncalibrated,brier_calibrated,auc_uncalibrated,auc_calibrated
Default (0.5),0.5,0.775,0.765625,0.7,0.7313432835820896,0.1676776388888889,0.1666876226597688,0.8286507936507936,0.8276190476190476
Max-F1,0.4066666666666667,0.775,0.7236842105263158,0.7857142857142857,0.7534246575342466,0.1676776388888889,0.1666876226597688,0.8286507936507936,0.8276190476190476
Screening (recall>=85%),0.30333333333333334,0.6875,0.6,0.8571428571428571,0.7058823529411765,0.1676776388888889,0.1666876226597688,0.8286507936507936,0.8276190476190476
