iter	Logloss
0	0.6804554462
1	0.6649533749
2	0.6535157681
3	0.6426041126
4	0.6328442574
5	0.6226449013
6	0.613690567
7	0.6047529221
8	0.5978505135
9	0.5896086216
10	0.5808867455
11	0.5723872185
12	0.5662874222
13	0.5595948219
14	0.5534882069
15	0.5483633995
16	0.5422811508
17	0.5372175217
18	0.5318283558
19	0.5272465706
20	0.5217538357
21	0.5173407555
22	0.5132317543
23	0.5089366913
24	0.504391098
25	0.5011962414
26	0.4985601425
27	0.4952874184
28	0.4917307854
29	0.4871137142
30	0.4840985298
31	0.4814192295
32	0.4786070347
33	0.4752835274
34	0.472751236
35	0.4699069977
36	0.4674077988
37	0.4650719643
38	0.4631134987
39	0.4608564377
40	0.4591672897
41	0.4552801609
42	0.4524414063
43	0.4500799179
44	0.4471125126
45	0.4446798801
46	0.4433171749
47	0.4415708542
48	0.4391047955
49	0.4369814396
50	0.4352906227
51	0.4327603817
52	0.4289758205
53	0.4277510166
54	0.4249399185
55	0.4236284733
56	0.4214058876
57	0.4190301895
58	0.4171102047
59	0.4150575638
60	0.4127865791
61	0.4113910675
62	0.4096045494
63	0.4066189289
64	0.4045018673
65	0.4023734093
66	0.4011935711
67	0.3998924255
68	0.3979836702
69	0.3961256504
70	0.3935680628
71	0.3920399666
72	0.3903704166
73	0.3878806591
74	0.3860744715
75	0.3846889496
76	0.3828232527
77	0.3815714836
78	0.3802573681
79	0.3788022041
80	0.3776546478
81	0.3757810593
82	0.3750140667
83	0.3734764814
84	0.3720314503
85	0.3697098255
86	0.3688458681
87	0.3681745529
88	0.3670709133
89	0.3648520708
90	0.362707305
91	0.3615899563
92	0.3601261139
93	0.3581386805
94	0.3564396381
95	0.35542202
96	0.3539349794
97	0.3525251865
98	0.3514641047
99	0.3499042988
100	0.3491369247
101	0.3470990658
102	0.3457885742
103	0.3446169853
104	0.3432525158
105	0.3418427467
106	0.3402248144
107	0.3394825459
108	0.33832376
109	0.336770606
110	0.3356933594
111	0.3342328548
112	0.3326051235
113	0.3315386772
114	0.3305098534
115	0.3299568653
116	0.328647995
117	0.3281139374
118	0.3267072916
119	0.3261436224
120	0.3252851009
121	0.3246295691
122	0.3239417553
123	0.3229709864
124	0.3218866348
125	0.3202407122
126	0.3195299625
127	0.3181026459
128	0.3173870564
129	0.3163325548
130	0.315941906
131	0.3149182081
132	0.3140002728
133	0.3134037495
134	0.3125334501
135	0.3114594698
136	0.3100595951
137	0.3092536449
138	0.3086087227
139	0.3077854633
140	0.3071673393
141	0.3061998367
142	0.3054494381
143	0.3043323517
144	0.3033205986
145	0.3018208504
146	0.3010999203
147	0.3000176668
148	0.2991940022
149	0.2978155613
150	0.2970628023
151	0.2962265015
152	0.2955726624
153	0.2944004059
154	0.2934544563
155	0.2926077127
156	0.2920434952
157	0.2914743185
158	0.2901215076
159	0.2892310143
160	0.2882454872
161	0.2874252796
162	0.2866024733
163	0.2856568575
164	0.2848854303
165	0.2838965416
166	0.2832799911
167	0.2823025703
168	0.2813132286
169	0.2811535597
170	0.2804602385
171	0.2790822744
172	0.278198123
173	0.2774025917
174	0.2760950565
175	0.2753317356
176	0.2742470741
177	0.2736072779
178	0.2728763819
179	0.2721690416
180	0.2713715076
181	0.270578742
182	0.2696213961
183	0.2690461874
184	0.268226862
185	0.2675747871
186	0.2666049004
187	0.2658233643
188	0.2650455475
189	0.2640390873
190	0.2630879402
191	0.2620630264
192	0.2612992287
193	0.2600302458
194	0.2593634844
195	0.2586914539
196	0.2581584692
197	0.2576621056
198	0.2562982082
199	0.2557014227
200	0.254860878
201	0.2544825315
202	0.2540850401
203	0.2533630848
204	0.2522655964
205	0.2514970303
206	0.250746417
207	0.2501003027
208	0.2494664431
209	0.2490591764
210	0.2483943939
211	0.2479502916
212	0.2473947287
213	0.2469573975
214	0.246325779
215	0.2453238726
216	0.2445930958
217	0.2441815376
218	0.2435424089
219	0.2429440975
220	0.2421476364
221	0.2411687851
222	0.2402643442
223	0.2397642612
224	0.2392173767
225	0.2386544943
226	0.2381127834
227	0.2377459526
228	0.2372818708
229	0.2369186401
230	0.2363934517
231	0.2353542805
232	0.2344835758
233	0.2339081287
234	0.2332985401
235	0.2329820633
236	0.2316717148
237	0.2305980682
238	0.2300129414
239	0.2293431759
240	0.2282526493
241	0.2275645256
242	0.2268167019
243	0.2261735678
244	0.2255947113
245	0.2243579865
246	0.2237632036
247	0.2225788116
248	0.2215419292
249	0.2201164722
250	0.2193322659
251	0.2185349464
252	0.2176207066
253	0.2168103695
254	0.2162121296
255	0.2158736706
256	0.2153787613
257	0.2147335529
258	0.2141587734
259	0.213745141
260	0.2130402803
261	0.2124464273
262	0.2115937233
263	0.2107530117
264	0.2100493431
265	0.2091320038
266	0.2080200195
267	0.2071041107
268	0.2066207647
269	0.206212616
270	0.2058533669
271	0.2051033735
272	0.2045105934
273	0.2038897514
274	0.2034923553
275	0.2030651569
276	0.2023746014
277	0.2022064686
278	0.2011346817
279	0.2002841234
280	0.1990963936
281	0.1984998107
282	0.1979567647
283	0.1970001459
284	0.1965783715
285	0.1957435846
286	0.1950992346
287	0.1942230701
288	0.1938740611
289	0.193562007
290	0.1932179928
291	0.1924981594
292	0.1917233825
293	0.1912132621
294	0.1910319567
295	0.1901169777
296	0.1896454334
297	0.1891530633
298	0.1882063031
299	0.1874804258
